DESIGNATIONS;PRIX
Paquet de couleur crayon en bois;1 500
scotch;200
Facturier A5;1 000
Facturier A4;1 800
BIC;200
Schneider;250
Kit de règle;1 500
trousse;1 000
Papier canson;1500
Grande équerre;1 500
Grand rapporteur;1 500
Grand compas;2 000
Grande règle;1 500
Enveloppe A3;4 000
Enveloppe A6 court;700
Enveloppe A6 long;1 000
Chemise en plastique;1 000
